,username,headline,interests,about_me_text,About,City,Details,Ethnicity,Intent,Education,Personality,Profession,I am Seeking a,For,Needs Test,Chemistry,Do you drink?,Do you want children?,Marital Status,Do you do drugs?,Hair Color,Eye Color,Do you have a car?,Do you have children?,Longest Relationship,How ambitious are you?,Pets,Second Language,Age,Gender,Zodiac Sign
match_197,Maxx1970,Trying something new,"['Bike ride', 'Read', 'Go to Sporting events']","I'm romantic, full of life, great energy, easy going. I am successful, educated, and extremely patient. I love positive and healthy conversation, good laughs, good times and most importantly a good heart.Working out, Having a good time, hunting, fishing , Netflix and chill",Non-Smoker with Athletic body type," Rock port, Texas ","49 year old Male, 5' 11"" (180cm), Christian - other",Caucasian,Maxx1970 wants to find someone to marry.,Bachelors Degree,Adventurer,Engineer,Woman,Long Term,Not Completed,Not Completed,Socially,Undecided/Open,Single,No,Grey,Blue,Yes,Yes,Over 5 years,Very Ambitious,Dog,,49,M,Capricorn
match_198,Spurfection,One of the good ones,None,"Sort of funny and kind of smartOr maybe really funny and super smartOr painfully unfunny and very unsmartThere is a lot more I could say here, but it makes for better conversation to find out about someone through actually talking. Don’t you think?",Non-Smoker with Athletic body type," San antonio, Texas ","37 year old Male, 6' 0"" (183cm), Other",Caucasian,Spurfection is looking for a relationship.,Bachelors Degree,Free Thinker,Management ,Woman,Dating,Not Completed,Not Completed,Socially,Want children,Single,No,Brown,Green,Yes,No,Over 1 year,Ambitious,No Pets,,37,M,Libra
match_199,RayMundoD,Pinoy512,None,I'm ready to retire and I want someone to enjoy this beautiful thing called life! My goal is to leave this world better than when I was in it!,Non-Smoker with Average body type," Pflugerville, Texas ","61 year old Male, 5' 7"" (170cm), Non-religious",Asian,RayMundoD is looking for a relationship.,Some college,Free Thinker,Mechanical mechanic At United States Postal Servic,Woman,Hang Out,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Black,Brown,Yes,All my kids are over 18,Over 10 years,Somewhat Ambitious,Dog,Other,61,M,Sagittarius
match_2,goodguy77775,Looking for me?,"['Music', 'Movies', 'Raeding']","I like literature, movies, music, Classical, Pop, Jazz, etc. Classic Rock, almost forgot. Usually get up early for coffee. My match would be smart, kind, honest, curvy hourglass, a little taller, but can make exceptions. Thicker than a snicker. Lol. I am 5 10. Not a big partner anymore.",Non-Smoker with Average body type," Austin, Texas ","50 year old Male, 5' 10"" (178cm), Christian - other",Caucasian,goodguy77775 is actively seeking a relationship.,Bachelors Degree,Straight Edge,Scanning,Woman,Long Term,Not Completed,Not Completed,Prefer Not To Say,Prefer Not To Say,Single,No,Blond(e),Blue,Yes,No,Over 2 years,Somewhat Ambitious,No Pets,,50,M,Leo
match_20,ninjarocky,ready to laugh and smile have fun,None,I love the outdoors camping hiking watching movies and popcorn lol and sometimes just hang out watching movies I love to be active,Non-Smoker with Athletic body type," San antonio, Texas ","43 year old Male, 6' 0"" (183cm), Non-religious",Mixed Race,ninjarocky is looking for a relationship.,Some college,Adventurer,store manager,Woman,Dating,Not Completed,Not Completed,Socially,Undecided/Open,Divorced,No,Mixed Color,Brown,Yes,Yes,Over 10 years,Very Ambitious,No Pets,,43,M,Pisces
match_200,MKB.HSB,"I'm a Doctor,I'm a Lawyer,I own this bar","['Grilling', 'Chilling', 'Water']","I have a great sense of humor; I am the funniest guy I know and if you don't believe me ask me. Maybe that why my friends are always laughing with me? Hobbies: Boating and water sports, hanging out with friends, and having a good time. I enjoy a good night out on the town to the local piano bar. Grilling by the pool,swimming, and soaking up the sun. I have a Harley that I like to take for rides in the hill country. When it comes to music I listen to everything, I enjoy going to music festivals and listening to the Texas country music scene. I also enjoy two stepping and love to go dancing. Goals: My goal is live to a hundred and live life to its fullest potential. When it comes to myself I have a daughter who is a senior in college and is graduating this year with a major in finance and a major in accounting. And I only have one daughter. I enjoy working and take pride in my work, and making money. My height in my sense of humor, no pun intended. I have a big heart and will do anything for a friend or stranger. My greasest pride in life is my daughter and always being the best father. I love my friends! I am a very passionate person and do every thing whole heartily.",Non-Smoker with Average body type," Horseshoe bay, Texas ","61 year old Male, 6' 8"" (203cm), Christian - other",Caucasian,MKB.HSB is actively seeking a relationship.,High school,,Contractor ,Woman,Dating,Not Completed,View his chemistry results,Socially,Undecided/Open,Divorced,No,Mixed Color,Blue,Yes,All my kids are over 18,Over 7 years,,Dog,,61,M,Leo
match_201,anubis0816,Looking for someone to be friends first,"['Movies', 'Music', 'Trying new places']","I am a divorced father with an 8yr old girl. She stays with me part of the time and then at her mothers for the rest. I enjoy movies, music, going to different place for dinner and drinks, but can also be just as content with a night at home.I work in a fast paced medical office with the University of Texas. I also do part time weekend work with the Home Depot. My schedule is a little crazy, but always can find time to make time for the right person.Looking for someone who can be my best friend first and also a companion.",Non-Smoker with Average body type," San antonio, Texas ","43 year old Male, 6' 0"" (183cm), Catholic",Hispanic,anubis0816 is looking for a relationship.,Some college,Class Clown,Discharge Planner in a medical office,Woman,Long Term,Not Completed,View his chemistry results,Socially,Undecided/Open,Divorced,No,Brown,Brown,Yes,Yes,Over 5 years,Somewhat Ambitious,No Pets,,43,M,Leo
match_202,2thegoodlife,Looking for a good woman!,None,"In summary - I'm originally from Long Island (The Hamptons), New York. I've now been living in San Antonio since July 2011. I've successfully completed a 21 year career in the Armed Forces, retired 2002 (been there done that - now on a new mind set!). I'm currently working on a second career as a civil service employee for the federal government (Healthcare Administration) since the past 18 years. I have an amazing grown Son (my pride & joy). Attributes/Traits include - God fearing, hard working, organized, good communicator/listener, adventurous, spontaneous, creative, supportive, caring and investing in the future.I love to experience and learn new things. I enjoy traveling - especially international traveling, Black History, cultural outings, museums, live jazz concerts/festivals, playing keyboards, working out, fishing, cooking/grilling (Steak & Seafood King) and watching boxing. I'm confident and independent in all endeavors ~ Spiritually, Mentally, Emotionally, Physically and Financially ~ been holding it down since the age of 19 ~ and not to mention being debt free with excellent credit.Something extra ~ my favoritesBook: Slavery by Another Name (Douglas Blackmon) Disappearing Acts (Terri McMillan)Movies: A Soldier's Story, The King of New York, A Raisin in the Sun & Imitation of Life.Songs: Harvest for the World (Isley Brothers) Summer Madness (Kool and the Gang) & Living all alone (Phyllis Hyman)Music video: Crossroads (Bone Thugs and Harmony)Mind Teaser: Olny 55% of Pepole can raed tihs I cdnuolt blveiee taht I cluod aulaclty uesdnatnrd waht I was rdanieg. The phaonmneal pweor of the hmuan mnid, aoccdrnig to a rscheearch at Cmabrigde Uinervtisy, it dseno't mtaetr in waht oerdr the ltteres in a wrod are, the olny iproamtnt tihng is taht the frsit and lsat ltteer be in the rghit pclae. The rset can be a taotl mses and you can sitll raed it whotuit a pboerlm. Tihs is bcuseae the huamn mnid deos not raed ervey lteter by istlef, but the wrod as a wlohe. Azanmig huh?yaeh and I awlyas tghuhot slpeling was ipmorantt! fi yuo cna raed tihs, palce it in yuor porfiel In conclusion - Thanks for taking time to check out my spot and good luck to all in your adventures in search of that special one. GOD BLESS!",Non-Smoker with Athletic body type," San antonio, Texas ","58 year old Male, 6' 2"" (188cm), Baptist",Black,2thegoodlife is looking for a relationship.,Some college,Adventurer,Retired Military/Healthcare Compliance Officer,Woman,Long Term,Not Completed,View his chemistry results,Socially,Does not want children,Divorced,No,Black,Brown,Yes,All my kids are over 18,Over 10 years,Ambitious,No Pets,,58,M,Pisces
match_203,devistator38,simply misunderstood,"['Basketball', 'Gym', 'Football']","Nobody cares about this crap, if the man doesn’t look right he’ll be wrong . A model dude can look good a and be wrong a woman won’t care as long as he looks good . Get to know me for who i am . Reading this won’t tell you who i am . ",Non-Smoker with Athletic body type," San antonio, Texas ","47 year old Male, 6' 4"" (193cm), Christian - other",Black,devistator38 is looking for a relationship.,Associates Degree,Class Clown,Home remodeling/HVAC technician ,Woman,Long Term,Not Completed,View his chemistry results,Socially,Undecided/Open,Single,No,Black,Brown,Yes,Yes,Over 10 years,Very Ambitious,No Pets,,47,M,Gemini
match_204,JoeDom12,The world is our oyster,"['Travel', 'Explore', 'Deep convo']","I like to play golf, travel, cook. Explore new places. I like to build things, furniture, brew beer, and try things that is something new to me.Of course I have my limits.I'm old enough and been around enough to know what I like and what I want and where I'm headed.I am a strong and confident man but rational and easy to talk to.Certain things catch your eye, but pursue only those things that captures your heart.",Non-Smoker with Average body type," Austin, Texas ","45 year old Male, 6' 0"" (183cm), Non-religious",Caucasian,JoeDom12 is looking for a relationship.,Some University,Adventurer,Gov,Woman,Long Term,Not Completed,Not Completed,Socially,Undecided/Open,Divorced,No,Mixed Color,Hazel,Yes,No,Over 10 years,Ambitious,Dog,,45,M,Libra
match_205,Romeo2_u,"Simple, and sweet!","['Motorcycles', 'Sports', 'Fishing']","My boys would describe me as hardworking, serious, loyal, and dependable. I would add that I’m funny, smart, and handsome. I am looking for a woman that is ready to set a foundation, and build something great. A woman that can cover my six, and hold me up if I am down. I’m looking for the Queen to my kingdom, I would like for her to be strong, compassionate, loyal, caring and hardworking. The number one thing is loyalty! If you have read this far, thank you. Send me a message and I’ll respond!",Non-Smoker with Average body type," San antonio, Texas ","37 year old Male, 5' 8"" (173cm), Christian - other",Black,Romeo2_u is looking for a relationship.,Some college,Blue Collar,Wind Turbine Tech.,Woman,Dating,Not Completed,Not Completed,Socially,Want children,Single,No,Black,Brown,Yes,Yes,Over 5 years,Very Ambitious,No Pets,,37,M,Aries
match_206,johntheboss,Looking for somebody spontaneous and fun,None,....,Non-Smoker with Athletic body type," Pflugerville, Texas ","35 year old Male, 5' 8"" (173cm), Catholic",Hispanic,johntheboss wants to date but nothing serious.,Some University,Athletic,Boss,Woman,Hang Out,Not Completed,Not Completed,Prefer Not To Say,Prefer Not To Say,Single,No,Black,Brown,Prefer Not To Say,No,Over 6 years,Very Ambitious,No Pets,English,35,M,Pisces
match_207,justinisinflight83,"if ur goin through hell, keep goin. -w. churchill","['Music', 'Airplanes', 'Outer space']","My name's Justin, like to laugh, create memories worth keeping.. just moved back to austin, texas, from phoenix, arizona. I'm lookin for someone, to share my smiles, interests, and laughter with... Life's an open road, and I'm ready to drive into new places, see new destinations, and excited to see what it has in store, as I roll through its tides, and swim through the waves, it brings, as I journey into the unknown, and drop into space.",Non-Smoker with Athletic body type," Austin, Texas ","36 year old Male, 5' 11"" (180cm), Christian - other",Caucasian,justinisinflight83 is looking for a relationship.,Some college,Adventurer,"tradesman... carpenter, and welder",Woman,Long Term,Not Completed,Not Completed,Socially,Prefer Not To Say,Single,No,Mixed Color,Blue,Yes,Yes,Over 7 years,Ambitious,No Pets,,36,M,Virgo
match_208,roadrage89,too much pressure,None,"Had to redo my profile for some reason Every C in pacific ocean is pronounced different You can't kiss your elbow You can't hum if you plug your nose Racecar spelled backwards is Racecar The 2 e's in bee are silent Do you know how to use there, their and they're Or to, too and twoWhen to use an over aI''m a nice guy, I work...I''m loyal and very patient",Non-Smoker with Average body type," Nb, Texas ","48 year old Male, 5' 11"" (180cm), Non-religious",Caucasian,roadrage89 is looking for a relationship.,Some college,Free Thinker,government,Woman,Long Term,Not Completed,Not Completed,Socially,Undecided/Open,Divorced,No,Black,Brown,Yes,Yes,Over 10 years,Somewhat Ambitious,Dog,,48,M,Aquarius
match_209,marshalArt,Single White Male,"['Golf', 'Surfing', 'Great foods and drink']","Cool, calm and collected.......Love anything on the water. I moved here from Florida 3 years ago and love San Antonio! i enjoy Fishing, Hunting, Camping, Dining Out or cooking at home. I'm probably a better cook than you...ijs...",Non-Smoker with Average body type," San antonio, Texas ","42 year old Male, 6' 0"" (183cm), Christian - other",Caucasian,marshalArt is looking for a relationship.,Graduate Degree,Professional,Management,Woman,Dating,Not Completed,View his chemistry results,Socially,Prefer Not To Say,Divorced,No,Black,Hazel,Yes,Yes,Over 10 years,Ambitious,No Pets,Spanish,42,M,Cancer
match_21,TS1467,Is anyone serious?,None,Just trying to find s friend.,Non-Smoker with Athletic body type," San antonio, Texas ","41 year old Male, 6' 2"" (188cm), Christian - other",Caucasian,TS1467 is looking for a relationship.,High school,Athletic,I make a living .,Woman,Long Term,Not Completed,Not Completed,Socially,Prefer Not To Say,Divorced,No,Brown,Brown,Yes,No,Over 7 years,Ambitious,No Pets,,41,M,Gemini
match_210,TXGrunt78754,Looking...,None,"Looking for a woman that is drama free, honest, blunt, is a cuddler, and that is herself. I am born and raised here in the ATX.. I can remember when 620 was just a small 2 lane road, lakeline mall was a grass field..Currently on a fitness path... anyone care to join.",Non-Smoker with Athletic body type," Leander, Texas ","41 year old Male, 5' 10"" (178cm), Non-religious",Caucasian,TXGrunt78754 is looking for a relationship.,Some college,Athletic,Full Time Job,Woman,Dating,Not Completed,View his chemistry results,Socially,Undecided/Open,Single,No,Blond(e),Blue,Yes,Yes,Over 4 years,Very Ambitious,No Pets,,41,M,Pisces
match_211,coffeedancer13,You don’t hv time to date - Why are you here,"['Dancing', 'Music', 'Coffee']","First the negative:For those of you complaining that I look different in my photos - they are only a month apart from each other - the first has better lighting - the second i have my hair in a tail and just got back from the gym, and I never look the same in any 2,photos - but the ones herevare current.If you ask for money,or gifts, if you ask me to go to a can site, if you are not located where your profile says or if you are rude - you will.be Blocked.---------------------------------------------------------I play guitar, I cook, I love to dance, I play pool and bowl, I workout Almost dsily, I walk 5 to 10 miles per day.In the long run, I am looking for long term, but starting with meeting in person and if we connect, then dating and seeing where it goes from there.Be direct - Say What You Want and Mean What You Say / No Games - No Hints - No Drama",Non-Smoker with Average body type," San antonio, Texas ","52 year old Male, 5' 8"" (173cm), Non-religious",Hispanic,coffeedancer13 is looking for a relationship.,Bachelors Degree,Night Owl,Retired,Woman,Dating,Not Completed,View his chemistry results,Socially,Undecided/Open,Single,No,Black,Brown,Yes,Yes,Over 10 years,Somewhat Ambitious,Cat,Spanish,52,M,Pisces
match_212,jjr512,Hola estoy aqui para conoser una buena m,None,Hola..me describo como una persona trabajadora con muchas ganas de salir adelante y conoser a una mujer buena honda que tenga ganas de superarse ambiciosa aaaá de la buena,Non-Smoker with Average body type," Austin, Texas ","39 year old Male, 5' 7"" (170cm), Non-religious",Hispanic,jjr512 is looking for a relationship.,High school,Blue Collar,Cook,Woman,Long Term,Not Completed,Not Completed,No,Prefer Not To Say,Divorced,No,Mixed Color,Other,Prefer Not To Say,Yes,Over 10 years,Ambitious,Birds,,39,M,Pisces
match_213,Jlvn73,Friends?,"['Sports', 'Outdoors', 'Cooking']",Hi. Well for some reason I seem to come back on here. I've tried to date but obviously this site is not for women who are really looking for something serious. On that note I'm looking for friends who just wanna go out and chill from time to time. (If it becomes more so be it.) I am a single father of 3 but all my kids are grown. My youngest will be joining the Army soon so I will be an empty nester. Wanna know more just ask. I am not a upgrade member so send message. Oh and please. NO GAMES LADIES. To old for that crap. Good luck on your search. Oh BTW I'm not into clubs or bars. Not a dancer but enjoy music venues. ,Non-Smoker with A Few Extra Pounds body type," San antonio, Texas ","46 year old Male, 5' 8"" (173cm), Catholic",Hispanic,Jlvn73 is actively seeking a relationship.,Some college,Foodie,Pediatric nurse,Woman,Long Term,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Bald,Brown,Yes,All my kids are over 18,Over 10 years,Somewhat Ambitious,No Pets,Spanish,46,M,Cancer
match_214,cfun1964,Fun adventuresome love to laugh,None,I love to fish travel and just have fun,Non-Smoker with Average body type," Buda, Texas ","55 year old Male, 6' 0"" (183cm), Christian - other",Caucasian,cfun1964 wants to find someone to marry.,Some college,Blue Collar,Law Enforcement,Woman,Long Term,Not Completed,Not Completed,Socially,Undecided/Open,Divorced,No,Mixed Color,Blue,Yes,All my kids are over 18,Over 10 years,Ambitious,No Pets,,55,M,Aquarius
match_215,dantox2420,looking for someone who is ready,None,"Hello to all. Positive man looking to meet someone who is ready for something real. Now I know we will not find love over one night. But hopefully there’s a connection to explore with each other. I would explain more about me, let’s face it, it takes away from a conversation right lol .. get at me if you are interested",Non-Smoker with A Few Extra Pounds body type," Sa, Texas ","39 year old Male, 6' 1"" (185cm), Baptist",Black,dantox2420 is looking for a relationship.,Some University,Intellectual,Insurance,Woman,Long Term,Not Completed,Not Completed,Socially,Undecided/Open,Single,No,Black,Brown,Yes,No,Over 5 years,Very Ambitious,No Pets,,39,M,Gemini
match_216,independentking52,Looking for my queen to spoil,None,Well I''m independent king wit two boys they both stay wit me I''m looking for a gate friend to get to know take out on dates spoil here in there hope we can vibe good in move forward in see if it turn in to a great healthy relationship.....what I like to do for fun is go out to eat shoot pool go bowling take walks on the park in the lake ride jets siks go on trail ride I have a horse of my own like go to the gun range paintball Karaoke liv bands contract painting wit the Twist go ride go karts I''m just a fun guy just looking for a woman do do all this wit,Non-Smoker with Athletic body type," Austin, Texas ","34 year old Male, 6' 1"" (185cm), Christian - other",Black,independentking52 is looking for a relationship.,High school,Adventurer,Trash Company Big Money,Woman,Long Term,Not Completed,Not Completed,Socially,Prefer Not To Say,Single,No,Black,Hazel,Yes,Yes,Over 8 years,Somewhat Ambitious,No Pets,English,34,M,Sagittarius
match_217,bored4g63,lets get together,None,Hello i am looking to get together with someone. What i am looking foris a little fun. I like to think of myself as a fun guy. So lets get together and see what happens.,Non-Smoker with Athletic body type," Austin, Texas ","34 year old Male, 5' 8"" (173cm), Non-religious",Hispanic,bored4g63 wants to find someone to marry.,Some University,Athletic,tell you later,Woman,Hang Out,Not Completed,View his chemistry results,Socially,Want children,Single,No,Black,Brown,Yes,No,Over 10 years,Very Ambitious,Dog,,34,M,Leo
match_218,laidbackforareason,Fwb,None,Looking for some casual fun,Non-Smoker with Athletic body type," San antonio, Texas ","34 year old Male, 5' 10"" (178cm), Other",Black,laidbackforareason wants to date but nothing serious.,Graduate Degree,Blue Collar,Military ,Woman,Dating,Not Completed,Not Completed,Prefer Not To Say,Prefer Not To Say,Single,No,Black,Brown,Yes,No,Over 10 years,Ambitious,No Pets,,34,M,Libra
match_219,4188wes,I am looking for a good Honest woman.,None,"I''m looking for a woman who is honest who is faithful who''s willing to date and see where things go. I was married for almost 20 years so I know how to treat a woman had to be faithful had to be honest and how to treat her like she should be treated. I live in the Austin area a small town just north of Austin. I love boating, being on the lake Travis. I love the outdoors, hiking, riding bicycles, but I love to snuggle on the couch and watch a good movie. lLet me be able to reach out to you and take you somewhere and let''s talk all night and enjoy each other and see how things go. I am widowed, my wife passed and 2013. I have three boys, ages 25 years old, 19 years old, and 14 years old. I am a Christian man, and I have been since the 90s. My faith in Jesus Christ is very strong, and my love for him is also.",Non-Smoker with Athletic body type," Georgetown, Texas ","56 year old Male, 6' 1"" (185cm), Christian - other",Caucasian,4188wes is looking for a relationship.,Bachelors Degree,Adventurer,Self,Woman,Dating,Not Completed,View his chemistry results,Socially,Does not want children,Widowed,No,Grey,Hazel,Yes,Yes,Over 10 years,Very Ambitious,No Pets,,56,M,Aries
match_22,redwille,Keep it real,None,Enjoy movies and relaxing at home,Non-Smoker with Average body type," Austin, Texas ","51 year old Male, 6' 0"" (183cm), Christian - other",Black,redwille is actively seeking a relationship.,High school,Straight Edge,Operator,Woman, Dating,Not Completed,Not Completed,Socially,Does not want children,Separated,No,Bald,Brown,Yes,Yes,Over 4 years,Somewhat Ambitious,No Pets,,51,M,Pisces
match_220,NotApsycho,Up for whatever,"['Live music', 'Hiking', 'Dog Lover']","***I DONT PAY TO SEE MEET ME REQUESTS SEND ME A MESSAGE***I am am outgoing a bit rugged but definitely have a soft side. I love to be outdoors hunting, fishing hiking just like to be spontaneous and in the moment. I am looking for a friend that could turn into more I am not in a rush to be in a serious relationship just want to take it one day at a time. I don't look at meet me if you want to meet send me a message.",Non-Smoker with Average body type," Round rock, Texas ","43 year old Male, 5' 9"" (175cm), Non-religious",Caucasian,NotApsycho wants to date but nothing serious.,Associates Degree,Adventurer,Manger,Woman,Dating,Not Completed,View his chemistry results,Socially,Does not want children,Divorced,No,Bald,Blue,Yes,Yes,Over 10 years,Ambitious,Dog,,43,M,Capricorn
match_221,j_remy76,Keep it 100%,None,If you want to know ask.....,Non-Smoker with Average body type," Tx, Texas ","42 year old Male, 5' 11"" (180cm), Catholic",Hispanic,j_remy76 is looking for a relationship.,Associates Degree,Night Owl,IT ,Woman,Dating,Not Completed,View his chemistry results,Socially,Prefer Not To Say,Single,No,Black,Brown,Yes,All my kids are over 18,Over 7 years,Very Ambitious,No Pets,,42,M,Sagittarius
match_222,nb210,Hello,"['Dining out', 'Travel', 'Cruises']","I have two children who live away from home. My daughter has graduated from college and has started her career and my son is in his senior year at the University of Texas in Austin.I retired in 2018 and I'm a true empty nester. I like to travel when possible and love cruises. I'm ultimately looking for a long term relationship and travel companion. Dating in your 50's sucks!I am not an upgraded member, I can’t see mutual “meets”...send a message...",Non-Smoker with Average body type," New braunfels, Texas ","53 year old Male, 6' 2"" (188cm), Non-religious",Caucasian,nb210 is actively seeking a relationship.,Some college,Animal Lover,Retired,Woman,Long Term,Not Completed,View his chemistry results,Socially,Does not want children,Widowed,No,Brown,Blue,Yes,All my kids are over 18,,Somewhat Ambitious,No Pets,,53,M,Aquarius
match_223,Bigheartd2017,Get to know me,None,"Just looking for friends. Big heart, loves music. I work alot which makes it difficult to date. Unless you can change my mind. Work isn't that important. Just do it to stay out of trouble lol",Non-Smoker with Average body type," San antonio, Texas ","44 year old Male, 5' 11"" (180cm), Non-religious",Caucasian,Bigheartd2017 wants to date but nothing serious.,Some college,Class Clown,Government,Woman,Friends,Viewhis relationship needs,View his chemistry results,Socially,Does not want children,Single,No,Blond(e),Hazel,Yes,Yes,Over 10 years,Ambitious,No Pets,,44,M,Aquarius
match_224,DamonR011,Professional meme maker seeks coffe snob,"['Soccer', 'Poker', 'Travel']","Goal oriented, also a coffee snob, originally from the west coast, likes to travel",Non-Smoker with Average body type," Las vegas, Texas ","38 year old Male, 5' 9"" (175cm), Christian - other",Caucasian,DamonR011 is looking for a relationship.,Masters Degree,Professional,Business Owner,Woman,Dating,Not Completed,Not Completed,Socially,Want children,Single,No,Brown,Brown,Yes,No,Over 2 years,Very Ambitious,Dog,,38,M,Pisces
match_225,Stable_Texan,Stable Seeking Same,"['Harley davidson', 'Texas music', 'Dog']","I'm having to commute between Houston and Austin so I guess you could say I'm a resident of both locations. I'm a very stable well rounded individual requiring structure within my life. I'm extremely organized and a ""planner"" by nature. I would prefer someone that is non-pretentious, extroverted, independent, educated, feels comfortable in blue jeans, cut-off shorts, or on the back of a Harley and maintains somewhat of a warped sense of humor! In addition, I love the Texas music scene and music plays an important part of my life. I also like to travel throughout Texas and abroad (warmer climates only).I don't smoke, use illicit substances, lay in the gutter with alcohol nor will I tolerate those habits in the person I'm looking for in life. I take extremely good care of myself from a physical and emotional perspective with no drama. I hope to hear from you but if I don't; I want to wish the best in your future searches and personal endeavors.PLEASE READ THE FOLLOWING: My spare time is the most precious commodity I have and I will not reply to winks or emails without a photo in addition, I'll reiterate, ABSOLUTELY NO SMOKERS (even if it's ""occasionally"").Thank you for taking the time to read my profile.",Non-Smoker with Average body type," Kyle/houston, Texas ","59 year old Male, 6' 4"" (193cm), Christian - other",Caucasian,Stable_Texan is actively seeking a relationship.,Bachelors Degree,Animal Lover,Management,Woman,Dating,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Brown,Blue,Yes,No,Over 6 years,Very Ambitious,Dog,,59,M,Aquarius
match_226,singlefishinaustin,Looking for a woman to share life with,"['Good conversation', 'Laughter', 'Music']","Hi, I’m starting a new chapter in my life, very creative and looking to share all that makes life worth living with someone special.I have been in Austin 4 1/2 yrs, still learning about area and what to do.I am easygoing, polite, great sense of humor. Love the outdoors, also enjoy relaxing with good music.Not a big texter until we know each other, prefer to meet early to see if chemistry exists.Honesty is best policy so let’s not BS, life is too short for wasting it...No offense but I am not interested in anyone outside the state, I would prefer you are close to Austin.Have a Great Day.",Non-Smoker with Athletic body type," Austin, Texas ","57 year old Male, 6' 1"" (185cm), Other",Caucasian,singlefishinaustin wants to find someone to marry.,Some college,Hopeless Romantic,Plumber,Woman,Long Term,Not Completed,View his chemistry results,Socially,Does not want children,Single,No,Mixed Color,Hazel,Yes,No,Over 4 years,Ambitious,No Pets,,57,M,Virgo
match_227,blackghostrider3m,All women are beautiful Asked me later,None,Asked me later please,Non-Smoker with A Few Extra Pounds body type," Austin, Texas ","51 year old Male, 5' 10"" (178cm), Baptist",Black,blackghostrider3m is looking for a relationship.,Some college,Adventurer,City of Austin ,Woman,Long Term,Not Completed,Not Completed,No,Prefer Not To Say,Single,No,Black,Brown,Yes,All my kids are over 18,Over 5 years,Ambitious,Dog,English,51,M,Cancer
match_228,HDTATMAN,my sense of humor,None,Bowling and golfing,Non-Smoker with Average body type," New braunfels, Texas ","48 year old Male, 6' 3"" (191cm), Christian - other",Caucasian,HDTATMAN is actively seeking a relationship.,Some college,Blue Collar,oilfield sales,Woman,Dating,Not Completed,Not Completed,Often (>3times/week),Does not want children,Divorced,No,Grey,Blue,Yes,Yes,Over 9 years,Somewhat Ambitious,Dog,,48,M,Capricorn
match_229,jiim_4u,Perhaps we are a match...,"['Travel', 'Cars', 'Bicycles']","I’m fun and energetic and prefer to be outdoors unless it’s raining. I have many hobbies and interests including live music, bike riding, people watching, movies, anything to do with cars and meeting new people. Most people consider me to be smart (I am an engineer).Note: I can’t see the “Likes”. Please say hi instead.(Not interested in sugar babies)",Non-Smoker with Average body type," Austin, Texas ","55 year old Male, 6' 0"" (183cm), Other",Caucasian,jiim_4u is looking for a relationship.,Masters Degree,Animal Lover,Self employed ,Woman,Dating,Not Completed,Not Completed,Socially,Does not want children,Single,No,Grey,Blue,Yes,All my kids are over 18,Over 10 years,Ambitious,Dog,,55,M,Aries
match_23,TBoi85,I’m a big Teddy Bear with a good heart,"['Basketball', 'Football', 'Cooking']","I’m easy going, laid back, no ego, sense of humor, family oriented, biggest heart ever. I’m looking for that special girl that I can make my ownI’m looking for that woman who is god fearing, understanding, patient, loves hard, down to earth, family oriented, sense of humor, somebody who I can relate to and is not about gamesAlso if you don’t have a pic please don’t contact me. It’s not fair that you can see me but I can’t see you. Ain’t no catfishin bs goin’ around hereSo ladies feel free to contact me anytime and be free to ask me anything or talk about whatever",Non-Smoker with A Few Extra Pounds body type," Austin, Texas ","34 year old Male, 5' 10"" (178cm), Baptist",Black,TBoi85 is actively seeking a relationship.,High school,Film/TV Junkie,Full Time Cook,Woman,Friends,Not Completed,Not Completed,Often (>3times/week),Undecided/Open,Divorced,No,Black,Brown,No,No,Over 4 years,Very Ambitious,No Pets,,34,M,Cancer
match_230,menschy_one,Don''t be shy,"['Books', 'Lifting weights', 'Movies']","I''m a positive thinking man who loves to travel. Hobbies include shooting pool, swimming, going to the gun range or a night out on the town sometimes. I love country music and other genres. you should at least like country music or tolerate it. I plan on living out on the outskirts of town after graduation by building a house. I''m a combat veteran. I''m done with that life though. I have my own place and car. Fully independent. All I''m missing is a significant other. Message me if interested.",Non-Smoker with Average body type," San antonio, Texas ","34 year old Male, 6' 0"" (183cm), Christian - other",Caucasian,menschy_one is actively seeking a relationship.,High school,Bookworm,Healthcare,Woman,Dating,Not Completed,Not Completed,Socially,Prefer Not To Say,Single,No,Brown,Green,Yes,No,Over 3 years,Very Ambitious,Cat & Dog,,34,M,Aries
match_231,hunglowatx,Can you handle a real man!!!!!,None,I know how to treat a real woman I'm a one woman man and I'll love what's mine I work hard and I'm humble easy to get along with some things about me1. Im an excellent cook 2. I'm a great listener (like I actually let you speak your mind and don't interrupt)3. Raised by single female so.i know how to fully respect a female4. I understand the struggles women go through so i can be sympathetic towards it5. I'm great with kids want some one day6. I work hard7. I'm very clean 8. I have great Morales and values in life,Non-Smoker with Average body type," Austin, Texas ","39 year old Male, 6' 0"" (183cm), Non-religious",Black,hunglowatx is looking for a relationship.,Bachelors Degree,Music Snob,renovation ,,Friends,Not Completed,Not Completed,No,Prefer Not To Say,Single,No,Black,Brown,Yes,No,Over 7 years,Very Ambitious,No Pets,,39,M,Virgo
