,username,Gender,Education,Ethnicity,about_me_text
167,waitingonyoutocatchme,F,Graduate Degree,Caucasian,"My Goodness please read before sending a message.I'm looking for a long term relationship that starts with friendship. I'm not moving in with you, getting married to you, meeting the parents with you, quitting my job for you, I'm not gonna be your babies new mom cause the real one is gone for a very long time after we are in a relationship if it gets there great but not doing it on the 3rd date lmfao If you dont have photos I will not respond. If you only have email go home to your wife ??If I dont respond dont send 20 messages ?? I'm not going to waste my time or yours. If you are one of those serious people all the time we are not a match. If you live at home with your parents dont message me. If you need someone to text immediately everyday I'm not your girl lolI'm not looking to join you and your friend, girlfriend or wife or any other freaky stuff. Please go somewhere else with that SMHLadies flattered but its gonna be a no for me ??On a happier note im independent. I dont care how much money you make because I dont need it. I dont care what you own or what you do. It's not important what is important is we have chemistry, it cant be forced guys, humor is so important, life is to short so let's see if your my Mr Dreamy All my laughing emoji are showing as ??lol"
168,hermalinda75,F,Associates Degree,Hispanic,"I’m looking for some fun ! Great friends and new adventures .., I Like traveling .., trying new restaurants .. lounges .. going to the movies of course .. I like to hanging out at my house or friends house playing cards or watching tv or jus having some drinks and good convo ... I am easy going person .. I’m a jokester so u gotta have a sense of humor and I’m a loyal and honest friend so there u go if u Likey contact me ??????"
169,gigglebutt83,F,Some college,Black,I like to laugh n play video games! If you're a husky country boy or gamer lets do this! FYI: im not really into blk guys or muscle men sorry but were all attracted to different things and i dont wanna waste your time. Doesnt mean we cant be friends tho!  
170,desirelove1274,F,High school,Hispanic,Quiero seguir estudiando. Para tener un mejor trabajo y asu vez aprender un poco mas y quiero intentar una casa propia
171,coko001,F,Some college,Black,"Outgoing, love live music and wineries. Not into games or hook ups!"
172,CountryBohoGypsy,F,Associates Degree,Caucasian,"Hello gentlemen,  I'm a country girl born and raised. I was riding horses ever since I can remember and understand them better than people some of the time... ! I love animals. I enjoy everything that has to do with the outdoors and on the water.... motorcycle rides.. country-western dancing.. rodeos... I Love the beach for sunbathing and romantic walks in the evening.. the mountains for hiking and all the places in between for exploring. I am adventurous, active, and willing to try almost anything once! I guess you could say I'm a tad bit of a tomboy, because my daddy never had any boys, so I was his constant sidekick when I was growing up, he taught me how to train, love and respect horses and other animals., the trade of woodworking.. to learn and understand sports, fishing and hunting. Nothing is more peaceful than going to a deer lease, with your friends, relaxing with the smell of bacon and a campfire in the crisp, cold morning air.... Now, Now Boys, before you have me pictured as calamity Jane; I can guarantee you, I'm 100% woman.. One little bundle of dynamite that you won't forget!  My momma was a great teacher to me as well, she taught me everything I needed to know to keep my man satisfied and happy... through her actions and commitment to my dad, I learned the upmost importance of honesty, trustworthiness, faithfulness and the ability to love someone with all your heart.. Through his stomach, by cooking, baking, getting up early to make breakfast. .. The importance to set the table and have a family meal together . Emotionally, by always being a good listener, to be selfless and supportive.. compassionate and to always remember to hug, cuddle and snuggle those that we love the most. And let them know how much you care for and love them each and everyday..Physically, by taking pride in living healthy, exercising and taking good care of myself, through hygiene as well; Everyman loves the smell of a woman's hair and body when they are freshly bathed, with just the hint of perfume.. ... Keeping a nice clean home. for your man to come home to . . Most importantly, Spiritually, that all things are possible with Our Lord Jesus Christ. To never give up and never ever to go to bed mad.. and to keep this in mind in any relationship ..   If you are still reading, I suppose I have sparked your interest.. I also have a very good heart and when I love, I love with all of it ... Im honest, considerate and respectful, I was raised that way; I still call my elders by sir and ma'am..  I love to laugh and I have a funny sense of humor, I seriously laugh at myself every day for some silly thing that I said or did. I love to cook and bake, entertain and have get togethers, the holidays and Spending time with family and friends..  I love my children and grandchildren with all my heart! Family is very important to me. .. With that said, they are all independent and don't need me as much anymore. So I am free to travel or for the right reasons even relocate.  I have the education, experience and trade that allows me to be financially independent. .. I'm looking for a real good man that has qualities and interests much the same as my own... If you feel that is you, please throw your cowboy hat in the ring .. Feel free to message me.. DAWN"
173,sammy716,F,Some college,Caucasian,I enjoy people and want to share my life with a nice gentleman tbat will respect me for me and be good man to me and my children! I work at a restaurant but one day ave my own nutrition shop and help people in their healthy so they feel better and live longer!! I am get along with just about anybody as long as they do not make me mad or be controling cause i believe u should be ourselves in life and treat other like we want to be treated which we need to practice this in everything we do in life!!
174,ItstooHotforthis,F,Associates Degree,Caucasian,"Its to hot for this! = it’s so hot outside!There’s your sign!Obviously I made this account in the summer :/I have hobbies which includes eating, sleeping and paying bills so I have good credit. Looking at used furniture is more exciting than this app. One persons trash is another persons treasure. I haven’t found anything worth keeping ???????Why is it so hard?!If I wanted to be your friend “with benefits” I’d contact you!So no need to ask cause it’s a dead no! Some of you are so bold! It’s truly disgusting."
175,FunTemplita,F,Associates Degree,Caucasian,"I’m always trying be outgoing even in the toughest of times and I’m passionate about life, fun and full of good vibes! When I’m not on here I’m working, having fun at river, working out and playing with all my animals and enjoying life to the fullest! I love old Muscle cars , I love and I have tattoos and can Go from fancy to laid back in less than 60 secs- lol ?? I’m a free spirit and love river, lakes, outdoors,camping, fishing, the beach and dancing, I love museums and love nature walks and going to movies.Yes I’m caring affectionate, romantic and a cute cuddle love bear!!! As long as u show respect treat me right then I do the same!! Ok enough for now I will leave the rest for you to find out??lolIn search of a Loyal funny, nice, sweet and respectful man who got his sh*ttogether NO BUMS"
176,Lynnesther,F,Some college,Caucasian,"My hope is to find someone like me. I want to enjoy life. I''ve now reached an age where I realize I''m not getting any younger. My children are grown, now it''s my turn to find happiness. I enjoy anything that involves water. I love the beach, road trips, travel. I love to laugh, so a sense of humor is a must. I spend a lot of my weekend with with friends, and work all week. I love spontaneity and adventure. What I don't like is people who take life to seriously. Calm down!! I don't want to worry about what might/could happen in the future. I want to live in the moment, not in the future, not in the past.I'm not interested in anyone that lives/works in another country. Born and raised in Texas and proud of it! Hugh country music fan! "
177,BelieveInDestiny2009,F,Bachelors Degree,Caucasian,"I'm just looking for a man who can really talk to me...who understands the art of conversation. One of my best friends is my former English professor. So, I'm drawn to intellectuals. But, an empathetic heart is even more important....I was born with Cerebral Palsy, a muscular-neurological disorder.I have a gift for the written word.Kindness is key in my life, but I do have my moody moments.I would really like to meet a soul who is willing to build a solid friendship, before we even consider moving things to the next level. He must have a good heart, a gentle spirit, and a love for animals...especially cats.I'm also a dork...looking for a weirdo. :)May God bless your heart....(My profile pictures are intentioned to show ALL sides of me...not just the best side. With me, what you see...is what you get.) :)(No FWB Inquires, Please)"
178,Coco_Loco_Bueno,F,Some college,Black,"Um..so yeah....I''m pretty dope. Uh....I date interracially,for the most part. Uuuuhhhh.....shoot ur shot lol**Don't message me if you don't have a pic of yourself,bro. It's 2019. Seriously,lol.***Also, I can't even believe I have to say this shit, but nah homie, I'm not here to exchange sexual acts for pesos. Take ur a** on over to B_ackpage lolGross.Other than that...Welcome! LolOh yeah! SEPARATED=STILL MARRIED.""But I've been separated for awhile. We don't live together"", he says. Sooooooo, you're a procrastinator? Boy, scram! LolAlso, please be over 5'9"". Um...this is imperative.lolAs for me, I'm literally, like, the best chick ever. For real. I have refrences.I do snore tho...aaand? I hv a lot of weight on my chest LOL*****Absolutely no Leo's********I know it's stupid lol but this is a personal choice based on personal experiences.New York made me,Texas raised me. So there's that...idk bro. Just hit me up and don't be a friggin weirdo about it, mmmkay? Appreciate it.Yo hablo EspanolI may or may not be Afro Latina."
179,13D,F,Some college,Black,"I''m ONLY interested in BLACK MEN (African American). To Date Others Is NOT An Option Or Interest!And yes, looks do matter to me, so does a sense if humor and height! I like men 6'2-6'8. P/S: men who own cats creep me out! D13 Is My Name & 13 Is My Favorite Number!"
180,Fay52,F,High school,Mixed Race,Very honest person looking for someone that's know what they want
181,Goddessj35,F,Some college,Caucasian,"HelloI am everything you could want in a woman and more, you just have to take the time to find out! I won't tolerate being treated like anything less than a Goddess.Also I am 5'8"", a size 18, and 230lbs, yes I am very curvy but I am starting a diet and exercise regimen. NO BODY PICS TIL I AM WHERE I WANT TO BE.I'm a mama first and foremostI am a Security Officer full-time."
182,Bebepong29,F,Some college,Other Ethnicity,I''m looking for someone with a great sense of humor and who knows how to treat a woman. I''m not here to waste my time or yours. I''m lovable and absolutely know what I want. I'm looking for a man and not a boy. Don't bother messaging Me if your a catfish or a perv. I will block you .
183,toxicgaze,F,Graduate Degree,Caucasian,"First and foremost I am a single mother of 3. I'm a smart, classy, and a bit smartassy! I love having a good time with friends hanging out and bbqing! I'm not a chef but I love playing around in the kitchen. I hate being single, it sucks, I don't care what anyone says. Freedom to do whatever is boring if you don't have someone to share the moments with. I love to listen to music especially with the windows down cruising back roads. I'm not a girly girl, but I do like to get dressed up and look pretty :) I love watching football with the guys more than shopping. Fall is my favorite season. I love anything to do with water. Lake, river, water parks. I ride Rollercoaster for the adrenaline rush. I like liquor more than beer unless it's a dos!Want to know more just ask."
184,Caligirly08,F,Some college,Hispanic,"I'm down to earth out going,open minded,loving and respectful of our differences, love the outdoors, live music, trying new things. I also love the ocean it's my happy place. I like anything outdoors .I love to go to concerts .I Like to travel. Go dancing ,,movies. Try new things.but most importantly spending time with family "
185,Willowlady74,F,High school,Mixed Race,???
186,sabelle30,F,High school,Black,LOOKING FOR SOMETHING REAL........... NO GAMES HAD ENOUGH OF THOSE..................SOMEONE TO CONVINCE ME THAT ITS OK TO SWITCH KEYS TO OUR HEARTS....... LETS HAVE SOME SIMPLE FUN..... A NITE OF TWISTER.... LAY AND WATCH THE STARS..........YOU MAY EVEN GET ME TO HUM A TUNE IF.......UR LINGO IS GENTLE.......LOOKING FOR ACTIONS NOT SPOKEN WORDS OVER THT....PROVE ME WRONG .....AM OPEN TO ANYTHING DIFFERENT AND REAL.................. please don’t be the RUDE TYPE.....a flower can grow beautifully when the taker......... is true and sincere towards caring for it.....??
187,47Strings,F,Bachelors Degree,Caucasian,"Note: I don't have the Meet Me capability. If you're interested, drop me a note.If Myers-Briggs is accurate, I’m an INFJ with INTJ tendencies. I’m not shy and consider myself an outgoing introvert. But when I want to recharge my batteries, I prefer being with just a few people.Since my hobbies are solo pursuits, let's come up with some things we can do together. Got any ideas?As for religion or spirituality, I swing between agnostic and atheist. While in my world there are no gods (except for perhaps the god of traffic, who has a truly nasty sense of humor), I support the right to believe as you choose. However, if you’re a fundamentalist anything, including a fundamentalist atheist, pass me by, please.Because I don’t believe in divine intervention or an afterlife or karma, I do believe that we humans have a duty to each other to seek justice, fairness and equality for everyone. If there is a wrong, do what you can to change it. If there is a need, fill it. No god is going to do it for us. Offer comfort and compassion always - simple kindness ripples outward in unseen ways, finding those who need it.My job is logic driven, very detail oriented and not in the least creative. It’s in my non-working time that I indulge in creative pursuits that feed my spirit. I read, practice the harp, cook, and write lyrics. I wrote some lyrics several years ago for a song that was recorded and made it onto the Americana chart. Even got played in Sweden - go figure. I’m working on several other songs at the moment, but I’ve got a time problem. I’ve taken some kilnforming glass classes and am addicted - I love the sound of breaking glass. I have many designs in my head and I’m looking forward to seeing them in real life.I’m looking for a man who is educated and wise, kind and compassionate, verbal, has his own thing, has a fully functioning moral compass and a strong back bone, lives a healthy lifestyle, and has a wicked sense of humor. If you are a “special needs” guy, as in all your needs are special at the expense of others, let’s not. The majority of life is spent on the mundane, so I’m looking for a man whose company I so enjoy that even the mundane stuff is fun.My goals for the future are to learn to play as many instruments as I can (sitar or kora would be cool), design and make more kilnformed glass pieces, learn about gardening and aquaponics, become the wisest and most loving human being I can be, understand as much about the human condition as I can and work for its betterment. Of course, I'm going to have to sneak that in with making the beds, taking out the trash, doing the laundry, getting the oil changed, mowing the yard, mopping the floors.... If you’re interested, write and tell me how you think we mesh.Best of luck to us all."
188,Yang18,F,Some college,Black,"I feel that forming a friendship is the foundation of a relationship.... I enjoy live music, shopping of course, cooking and dining out, watching movies and relaxing at home. I really enjoy sporting events high school, college and professional...."
189,zavygm06,F,Bachelors Degree,Mixed Race,Great minds discuss ideas; average minds discuss events; small minds discuss people..A successful man is one who can lay a firm foundation with the bricks others have thrown at him...Hit me up on my SC angelaaustin669
190,Erika1975,F,High school,Hispanic,Hello
191,nlittles,F,Some college,Black,"Single bbw who is just looking for someone to be a friend first and maybe lead to something a little more serious. I work as a nurse and love what I do. I love being around people and having fun. Im a very simple girl just looking for that special someone to chill with. So if u feel you are the one feel free to let me know and we can see where things go. If you are not into bbw's please don't waste my time, I understand I'm not made for everybody. Oh and no time for the drama or games you can have it. Single men only! So if you are married, engaged, have a girl or girls, or still sleeping with your baby momma, Im good. Dont need that stress in my life, so carry on. Only intrested in real men. Oh and good luck fishing!!"
192,rose197402,F,High school,Other Ethnicity,"Movie,Watching football,hang out,watching my kids !"
193,allsmiles915,F,Bachelors Degree,Black,"I'm currently in the process of relocating to Austin from SoCal. I'm just looking for a someone to get to know and spend some time with. Maybe it goes somewhere maybe it doesn't, but let's at least have fun along the way. Fun facts: - I DESPISE frequent ""wyd"" texts/messages!- I don't eat avacado anything - I'm really 5'11"" (without shoes) - I'm totally random and have a huge, sometimes twisted, sense of humor! - I read a lot... like... a lot! - I'm a meat and potatoes type of girl... not just figuratively... I LIVE for a medium (cooked) well marbled ribeye- I'm probably the nicest person you'll ever meet ;-)"
194,newgirl2021,F,Some college,Caucasian,I am a very positive person that lives life to fullest make the most of every day like it was the last because tomorrow is not promised I work hard and am a very independent person don’t have time for games or drama love to laugh and enjoy good company any time of day I work out love sports and enjoy the outdoors and water sports but the most important time for me is time with family and friends
195,rmartinez62,F,Some college,Hispanic,"I love to have a good time, take a walk in the park, catch a movie, go dancing, listen to music and open to almost all music. I just want to make friends and maybe find that one special guy."
196,TishaAnn79,F,Some college,Black,"I enjoy cuddling, long walks, going to the movies and going shopping. I also enjoy going out with my friends."
197,IthoughtIfoundit,F,Bachelors Degree,Black,"I enjoy life, I’m very honest and straight forward. I like movies, bowling, darts, vacations. I’m a very loving and playful woman. If you don’t know what you want pass me!!! I would like to say life is not hard or rude it’s what you do next to dictate your step and I know what I want, do you? Thank you Happy hunting."
198,dreamer_5,F,Some college,Caucasian,I guess this is the hard part trying to describe yourself to complete strangers...I’m just me an honest faithful lady that sees or looks for the good in everyone. I work in the healthcare field with Alzheimer’s patients & love it...I learn something new everyday that I had no idea about!Family is 1st for me...I have one son who is grown & my biggest accomplishment in life...My parents are still married after 56 years & we are a very close I didn’t have that in my life & im ok with that now. I love animals especially dogs...anyone who doesn’t love dogs we probably wouldn’t be a good match....my dogs are my family as well :) I love doing volunteer work for local animal shelters it really does make a difference for the animal & your heart....love all kinds of music except hard rap...if you’re interested send me a message if not Goodluck on your venture...If you socially drink that’s ok...but if you have to be carted out of a public place while we are on a date NOT COOL!I live 70 miles west of Austin I don’t think that’s a big distance but many have acted like it’s sooooo far I do drive lol but i guess that’s a deal breaker for some!If you’re my sons age 26 DO NOT message me not into that drama...if you’re out of state or the country don’t bother it’s getting beyond ridiculous & a big fat joke!!
199,prettygirl3085,F,High school,Hispanic,I am a nice person but I can be mean sometimes I have two sisters n three brothers n I have two best friends that I call my sisters. I don't have kids I like all kinds of music I am family person n I am more of a mom's girl n yes I do work I am a hard worker
200,sweetie7290,F,Masters Degree,Black,Single hard working drama free woman with a great sense of humor. I am not stuck up. I enjoy meeting new and interesting people. I enjoy anything outside. I enjoy Cooking. I love to have fun and try new and different. I love football and basketball. 
201,210Frances,F,High school,Hispanic,Hello. My name is Frances. I have 2 daughters who are both older with their own children. I am a happy grandmother to 3 very handsome boys. I have boys in my life but I'm looking for a man. I can be very fun and I am easily entertained.
202,Jeepher2018,F,Masters Degree,Caucasian,"Resetting ...starting over I’ve been on here before awhile back. I’ve met some interesting people for sure. The thing is, I have what some would call old school ideas. I hold people to the same standard I hold myself. I expect for people to do the right thing, treat people better than they deserve and to be grateful for all the good life has to offer.I know there is that one person out there that is the right one for me and I’m the right one for him. Not looking for perfection at all, just looking for mutual attraction, on the same page as far as core values and commitment goes. I want that ever so elusive chemistry. It’s a you’ll know it when you feel it kinda thing. Because chemistry is sometimes difficult to ascertain via text, I’d prefer to meet in person early on. In an effort to be completely transparent. I’m not interested in hook-ups, non-monogamy, foreigners pretending to be US Military (scary how often I get those), or anyone who isn’t who they are in their pics. I’m incredibly honest and I expect the same."
203,Kekeh2498,F,Some college,Black,"My kids come first no matter what...I want to find someone who knows what they want must be LOYAL & HONEST.(no games too old for that) I love to play volleyball and dance. I'm that woman that you will find watching football & don't want to be bothered. I like country, tejano, bachata, and old school r & b music. I come off stand-offish but, once you get to know me you'll love me. I'm very loyal and I treat ppl the way i liked to be treated. My passion is helping at risk youth especially young ladies. I'm here to meet friends that possibly can lead to a relationship ( no boothang)"
204,FrTst38,F,Associates Degree,Hispanic,"“The most valuable possession you can own is an open heart.The most powerful weapon you can be is an instrument of peace.”~ Carlos SantanaCompassion, reconciliation, tenderness, and resiliency are qualities of the heart and they can be fierce in their commitment to love.It's difficult just living for a purpose or the big picture. Anyone feel where I'm coming from? Either way, been there, have that, now looking for a loving long term companionship. Oh BTW I'm not into clubs or bars. Not a dancer but enjoy music venues.So pictures of my backyard aren't allowed or yarn projects I've created?? ?? "
205,MsKC_TX,F,Associates Degree,Black,"I listen to R&B,Jazz, Old school hip hop,and Neo Soul I love my Kansas City Chiefs win or lose!! Looking to make new friends should it blossom into something more fantastic!! If not .. NEXT!! I strongly dislike drama ( it’s great for TV) liars, cheaters, or anything that does invoke peace ,love , and happiness! Not looking for any hookups or explicit references to sex please! Simply not warranted!! Only GROWN ASS MEN respond."
206,jordangotcha,F,Bachelors Degree,Caucasian,"I am a business owner so that keeps me pretty busy. I love to dance and take classes 3-4 times a week and go to the gym when time allows. Taken a couple of golf lessons but still very much a beginner. I like playing poker and love going to Vegas. I am not looking for a hookup. I am looking for a long term relationship with a stable person in which there is a mutual attraction - not fatal attraction - lol! No drama! Just open honest transparent communication and mutual respect for differences. “We are all a little weird and life’s a little weird, and when we find someone whose weirdness is compatible with ours, we join up with them and fall in mutual weirdness and call it love.” – Dr. Seuss"
207,liz78748,F,Some college,Hispanic,.. LongHorns
208,InstinctlyMe,F,Bachelors Degree,Other Ethnicity,"I am caring, loving and I like adventure. I love having fun. I love to travel and learn about new places and things. Learning different cultures and meeting new people excites me. Reading is one of my favorite past times. I try to stay physically fit by eating healthy and working out when time permits. I am gearing toward a pescetarian life style to start and eventually becoming a vegan. I welcome a challenge because of the adrenaline you get when you overcome that challenge. I put hearfelt effort into anything I am presented with. I get along with just about anyone no matter their personality type. I am a social butterfly. I enjoy people in general. I love learning about cultural differences and experiencing the people that are apart of it. I love all music. I love Soft Rock, Old School R & B. (especially R & B slow jams!!!), Jazz, Country and even some Classical music. I am in search of a warm hearted sensual man that will eventually become my best friend and confidant and if the chemistry is there love me for me. He must be God fearing. I don't care for superficial people. I'm down to earth. I'm simple but I do have class. Im a woman of many facets but any man that secures my heart will have the finest of gems. I look at the heart and I want to be in tune with the man I chose heart and soul. If this is what you're looking for in a mate please feel free to reach out to me. Also, if you decide you want to reach out to me please dont just say hi or hello let me know you're interested by saying something intriguing."
209,sl2781,F,Some college,Hispanic,"I''m not here looking for a random hook-up!!! I''m raising two teenage girls and have a son in college and refuse for them to accept less than what they deserve so I set the example. My family is very important to me as well as my involvement with my church. A few things I enjoy are baking, cooking, sporting events, live music, comedy clubs ect.... I also love taking spur of the moment weekend trips to the beach or a small town to just get away and relax with my family. I''m not here too play games, play with anyone''s mind or mislead. I dont want nor need someone who dates multiple women at a time or enjoys keeping their options open. I''m either all in or not and I expect the same and am always open to an open line of communication, it''s a must.Have u ever just seen a couple so happy that it just makes you smile non-stop knowing that they might not be perfect but they still look and laugh with each other like noone could take their joy- I want that!"
210,Vicki300,F,Some college,Caucasian,"I'm a 5'8 curvy green eyed blonde, that is interested in finding my partner in crime??. I love college football, pretty much all sports! I'm a country gal at heart, love animal's, especially horses! Trail riding and horse venue's, are of interest to me. I love to 2 step but don't go to club's alone. I enjoy several genres of music, old country is my favorite, coming from a family full of musician's. I enjoy bowling, live theater, museum's, old architecture, ancient cultures, old diner's with great food, little country town's full of antique shops, car shows, flea markets and so many other thing's. I'm a Pisces, not Aquarius. I'm an empathetic woman but I'm not a pushover. I'm marriage minded. I'm not interested in a part time anything, that's for people that don't understand how wonderful a committed relationship is! I'm not saying to jump right in on the M thing, what I am saying is this....if you aren't marriage minded down the road, don't waste yours or my time. We all know what we really want, short term, plaything or long term! Be honest upfront about it, I'm not here to meet a bunch of different men for fun! If you're a trump supporter, keep trumpin on outta here! I'm shy at first, I'm a touchy feely woman in a committed relationship, I'm monogamous and expect the same in my partner, when it gets to that point. I'm sure all this may sound so serious to many but this is serious to me. "
211,itsalongstory,F,Bachelors Degree,Hispanic,"Ready to turn the page.......So what does the phrase a little less & a lot more action mean to me? Most people just see the sexual connotation of it all, but the statement comes from me wanting try to spend time getting to know guy I have met, for example here on POF. My days of just hitting it & getting it are long over. Ok so when I finally feel comfortable enough talking or chatting & we seem to really have the same ideas of what we are looking for in someone, we make plans to meet for like a drink or coffee. Well, here comes, the excuses....oh not this weekend because whatever. Ok I’m a reasonable and very understanding especially when It come to family or work obligations but when it is over & over & u never meet but they wanna still talk? Sorry buddy if u don’t have 20-30 mins to meet for a quick lunch or a drink, or whatever, then u don’t have time for me. I am looking for someone who is ready to spend quality time together. Cuddling on the couch, trying a new restaurant, entertaining friends. That’s what I’m looking for. Not 5 months chatting or texting! Ok I will get off my soapbox now, lol. Have I completely scared u off?"
212,lbeedee,F,Some University,Caucasian,"Hey there! I’ve been single for a few years and now that my daughter is off to school, I think it’s time to get back out there. I’m stable and independent, kind and loving, honest and real. Reach out if you’re interested and ask me anything. I’m an open book."
213,Robro2007,F,Associates Degree,Caucasian,"I am an honest woman , looking for an honest man. I have a huge heart and want to share it with the right person. I am an independent mother of two children, but miss the companionship of a special man..would love to meet someone and go from there....."
214,ausia,F,Associates Degree,Black,"Please if your taking the time to read my profile i appreciate it. But don't waste my time and yours if your just looking for a booty call. Nothing wrong with that but I'm not the one. Anyway, I'm a full-figured woman of varied interests. I love to play tennis, read and I am an avid movie buff. My goals are to travel the world and experience new and exciting adventures. Hopefully with YOU at my side...? What makes me unique is my sense of humor and my unique way of looking at the world. I'm also a fan of top 40 music. I want a man who can treat his woman well. A man who remembers how to treat lady. A friend who I can carry on an intellectual conversation with. For Anyone searching through my MP3 player all I can say is ""Don't judge me"". LOL"
215,latinaus,F,Bachelors Degree,Hispanic,Enjoying life. If you can hold an intellectual conversation count me in. 
216,KatTx,F,Masters Degree,Caucasian,"Most days of the week you can find me working as a pediatric nurse practitioner. I love kids and how they see the world. I bring a lot of energy and humor to my practice. As someone who has always loved to work with others and make a difference in this world what could be better? Well, perhaps a date with a handsome gentleman! Wink... Wink... :) Besides, I may need those skills to nurse myself back to health after reading some of these emails I get on this site! They are too funny...I am independent but far from being a feminist. Sarcasm is a spice of life, so bring it on. I don''t offend easily and believe laughter is the key to happiness. I''m an upbeat, optimistic person. One of my mantras: problems are just opportunities in disguise. I own my home and am financially and emotionally stable. I left all my baggage on the last flight.Timeless books and movies that make you wonder for days about whose side you are on or tug at your heartstrings put great flavor into many of my evenings. I tend to click best with men who are intelligent, driven, and love to be silly and have a good time. If you can make me laugh till it hurts you are definitely ahead of the pack! What''s your story? What are you greatest pet-peeves and what makes you weak in your knees from joy and happiness?"
217,twolittledogs,F,Some college,Caucasian,"Hi, A little about me: I enjoy baking, making crafty things, hiking and being outdoors. My goals are to always get the most out of life, spend time with friends and family and continue to check off and add to the things on my bucket list. I can get along with anybody and am a good listener. I enjoy all types of music and appreciate the songs that bring back memories.  Enough about me lets talk about you. While I am usually flexible in most things, some of the things I would consider unattractive would be, smoking, excessive drinking, unhealthy lifestyles in general and a glass half empty type of attitude. I don't place a huge emphasis on looks but would like to feel that attraction. I am not much in to materialistic things and prefer experiences over a bunch of rarely used stuff. Thanks for reading to the end, Happy Fishing!!"
218,dfreed1,F,Bachelors Degree,Caucasian,"I am an outgoing person that loves boating, travel, seeing new sights, making a great meal together and/or dining with good friends, family, listening to good music, dancing and making great memories. I enjoy walking, hiking and biking I am a person of honor and I would look for the same in a partner. I am ultimately looking for a relationship but I am comfortable with making new friends and enjoying the company of interesting people who introduce me to new things, places and people. What makes me unique is that I do come from a very large family of 11 siblings of which 8 are girls. Hence I am good with people. I have a wonderful daughter who is the pride of my life. My goals and aspirations are both personal and professional. I want to continue to grow my business and reap the rewards of that labor with friends and family and give back to others as part of paying it forward for all the support and love given to me throughout my life. It would be great to find a special someone who would make sharing these moments even more special."
219,Babe62,F,Some college,Mixed Race,Down to earth. Love unconditionally!
220,MaryMaureen,F,Some college,Caucasian,"I am a straight forward kind of person who believes honesty and trust are very important in any relationship. I prefer a funny movie, homemade dinner and snuggling on the couch with someone special to going out after we get to know eachother. I am responsible and have a serious side, but would like somone who can make me laugh and be silly with. My music taste ranges from Country, to 80's Rock, to Christian. I'm looking for someone special to create my best life with."
221,KarenSS,F,Some college,Caucasian,"Since I am a committed Christian lady, I am looking for a committed Christian guy, who is 6 foot tall or taller for a Christ-centered relationship that will hopefully lead to marriage at some point in the future."
222,sweetlksugar,F,Some college,Hispanic,"Homebody. Watch a lot of shows and movies, listen to country & 90’s alt/r&b/hip-hop, and sleep whenever I get a chance. I have a gym membership but I spend more time in my bed than the gym. I need some motivation, maybe avoiding having to shop the next size up, maybe a cute guy to go hiking with and inspire me? Mother to a wonderful preteen monster who is arguably probably smarter than most of you reading this. But don’t let her brains intimidate you, she’s a sucker for dogs and food and luckily doesn’t meet men I date so you only have me to impress."
223,5Dallamakeyahalla,F,High school,Hispanic,"I'm 52 years old woman born and raised in Austin Texas and I am looking for a man who is honest, hard-working and who knows how to treat a woman with respect, make her feel loved and wanted and appreciated I'm not looking for cheaters, Liars and dishonest man.I like all kinds of music. I love to dance especially to Tejano music. I like to go out to Dinner and a Movie or go out Dancing.send a message if you want to meet. I don't have that meet me feature."
224,ATXgirl322,F,Some college,Caucasian,"I am an ambitious, self-motivated, career focused mother of two. Summer is my favorite time of year. I love being poolside or on the Lake with friends. Grilling out by the pool is another favorite of mine. I'm loyal to a fault and a caregiver by heart.I'm very social and it's hard for me to slow down. Love adventure and always willing to try new things.I will keep it real 100% of the time and can be bit sarcastic at times.If you do not have your face in your picture I will not respond."
225,persianna,F,Bachelors Degree,Hispanic,"PASS IF YOU WANT A**! Lol Love working out. Love music. Love to laugh. Honesty and strong communication are key for me. Can you focus on me? This is ADHD dating. Patience is a virtue. Time is valuable. Invest your all for what you want! Must be empathetic, honest, and a great communicator. If you can’t talk on the phone and are inconsistent in communication, we are not for each other. "
226,Margaritadrink,F,Bachelors Degree,Hispanic,"I love life and laughter, I like having fun, dancing, swimming, movies, lake and doing things at the spur of the moment. Whoever I meet, have to believe in God and he has to be important in their lives too.If you ready to get going on with this life...send me a message...life is to short to be doing nothing..!"
227,dgarza24,F,High school,Mixed Race,"Hi! i like to have fun i love to swim, read , movies. Crochet , camping, fishing and hunting.I like every kind of music but country is my favorite.I would like to trivial more take a road trip and see the world.Ask for a pic "
228,1cyndi,F,Associates Degree,Caucasian,"Hello. I’m new to Georgetown but born and raised in Texas. I’ve been a nurse for over 35 years. Have successfully raised 5 children and now am a proud Mimi of 5 wonderful Grands! I’ve focused most of my adult life on my career and raising my children and am ready to focus on my personal life and meet new people and hopefully find the person I can’t live without! I enjoy going to the beach, lake, ocean, river. Enjoy nice walks and moderate exercise. I like to read but don’t take the time to do it often. I look forward to trying new experiences and believe with the right person anything can be enjoyable."
