,username,headline,interests,about_me_text,About,City,Details,Ethnicity,Intent,Education,Personality,Profession,For,Needs Test,Chemistry,Do you drink?,Do you want children?,Marital Status,Do you do drugs?,Hair Color,Eye Color,Do you have a car?,Do you have children?,Longest Relationship,How ambitious are you?,Pets,Second Language,AboutMe,Interests,AboutAndrea,AboutCandie,AboutTiffany,AboutTrini,AboutSophia,Aboutjo,AboutAshley Nicole,Aboutlarrissa,AboutRLR,Aboutaims,AboutStacy,AboutJ,AboutTara,AboutSusan,AboutMesha,AboutLooking995,AboutJami,AboutMisty,AboutRoxanna,AboutClaire,AboutAda09,AboutAmy,AboutMariana,AboutCORRAL,AboutPriscilla,AboutLaura,AboutCherry,Aboutbeka78,AboutAnna,AboutAli,Aboutkat,AboutDragonfly236,AboutSyl,AboutTricey,AboutPauline,AboutAydnil,AboutJennifer,AboutLINDA,AboutVee,AboutD,AboutGloria,AboutAshley,Aboutjenny,AboutRosario,AboutPatricia,AboutMichele,Aboutjoy,AboutVictoria,AboutKaren,Aboutcyndi,AboutMari,AboutKara,AboutIngrid,AboutPamela,AboutWanda,AboutPrettyFeetChef,AboutMyBaby49,AboutSharon,AboutRosalba,AboutEmma,AboutMary Rodriguez,AboutShestie,AboutJenny RM,AboutChristina,AboutApril,AboutSonia,AboutLinda,AboutJessica,AboutNilla,AboutAsk me,AboutTenci,AboutBonnie,AboutAngela,AboutElizabeth,AboutLina,AboutKatrina,AboutSaTexas65,AboutDena,AboutKatherine,AboutT,AboutThelM,AboutLatonya,AboutBeautiful,AboutLil,AboutRuth Guerrero,Aboutlisa,AboutMaintain,AboutPRINCE$$'''''''''''''''''''''''''''''''''''''''''',AboutBelle,AboutChristie,AboutKristen,AboutCynthia,AboutAjaye,AboutJetta,About Me,AboutMartha Taylor,AboutCarolyn,AboutAlejandra,AboutAnita,Aboutsusie,AboutI’m not ur side ✌️ ...I want to be ur ✌️,AboutMyrna,AboutDahlia,AboutJenni,AboutKristy,AboutGayle,AboutNancy,AboutMarie,Aboutneida,AboutStephanie,AboutR,AboutMelissa,AboutKiona,AboutCarmen,Aboutlinda,AboutJanette,AboutLynette,AboutCindie,AboutJoy,AboutJae,AboutMonie,AboutSue,AboutTerry,AboutNiqq,AboutLori,Aboutveronica,AboutKenda,Age,Gender,Zodiac Sign
match_15,curran61,Looking for a relationship,None,"Indie movies, long walks,travel",Non-Smoker with Average body type," San antonio, Texas ","58 year old Female, 5' 6"" (168cm), Catholic",Caucasian,curran61 is looking for a relationship.,Bachelors Degree,Adventurer,Banking,Man,Long Term,Not Completed,Not Completed,Socially,Prefer Not To Say,Divorced,No,Blond(e), Green,Yes,All my kids are over 18,Over 10 years,Somewhat Ambitious,,No Pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,F,Virgo
match_150,princesscharming,Willing to lie about how we met,"['Spurs', 'Cowboys', 'All things Longhorns']","I’m just here to waste my time listening to shallow intros like “hey beautiful”, “I love your curves”, “hi luv”. They’re the best. I can hardly wait.Single mom to a pug and humans. Lover of the Spurs, Cowboys, and Longhorns. I’m an expert in breakfast tacos, naps, and smart assery in general. You should message me if you’re honest, kind and love to laugh. I’m a ****ing delight ;)",Non-Smoker with Average body type," San antonio, Texas ","42 year old Female, 5' 2"" (157cm), Non-religious",Hispanic,princesscharming wants to date but nothing serious.,Some college,Diva,Accountant,Man,Dating,Not Completed,Not Completed,Socially,Does not want children,Single,No,Brown,Brown,Yes,Yes,Over 10 years,Very Ambitious,,,Cat & Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,F,Cancer
match_151,FlaGrly2016,It’s all up to you......,"['Reading', 'Music', 'Cooking']","Looking for honest, sincere and comfortable in his own skin..Must enjoy music ( especially live) slow dancing, traveling to destinations near and far, busy cities and quiet country life, hot sunny days on a desolate beach, riding through the countryside, checking out local places, stopping when and wherever we want, camping or five star hotels, dive bars,sports arenas, auto races, music festivals, art shows, motorcycle events, and sightseeing, good movies and fires on a chilly nite. I am single and sane, looking for same.....usually a glass half full person, logical ,critical thinker, sharp witted and love to laugh. Life is what you make it, make it the best. NDon’t waste any time, it slips by so fast. Describing my ideal match is simple. He is respectful, knows how to treat a woman, happy, stable, fun and fun loving, acts like a man, and can take control when he needs to. Knows how to manage his life, and take care of business. He loves family, friends, and to be with me.Enjoys time alone and together. Describing me is pretty simple: I'm outgoing, fun loving and serious when I need to be. Value family and friends, and enjoying time with both. I can be ready to go on a moments notice, not high maintenance, enjoy football season, riding, prefer local dive bars/restaurants to chains, live music, early mornings and am able to laugh at myself when necessary. I love going out and staying home. Turn Ons! Uniqueness, Sense of humor, Confidence, Independence, Character, Smiles, Eyes (and that look only we know), fun, down to earth, and like to do things, planned or unplanned.....I love live music, the beach, boating, riding mc's, going out with friends, cooking, checking out new places, and quiet times at home. Lots more to say but I'll save it for conversation. You have to message me, I don't have ""meet me"" feature.",Non-Smoker with Average body type," New braunfels, Texas ","62 year old Female, 5' 5"" (165cm), Catholic",Caucasian,FlaGrly2016 is looking for a relationship.,High school,Hippie,Gainfully employed ,Man,Dating,Not Completed,View her chemistry results,Socially,Does not want children,Single,No,Brown,Brown,Yes,All my kids are over 18,Over 10 years,Ambitious,,,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,F,Gemini
match_152,tomiwa123,"Responsible,God fearing and handsome","['Tall', 'Black', 'Simple']","Am hard working,God fearing creative and straight outgoing",Non-Smoker with Average body type," Austin, Texas ","35 year old Female, 5' 7"" (170cm), Non-religious",Other Ethnicity,tomiwa123 wants to find someone to marry.,Bachelors Degree,Yuppy,Nurse,,Dating,Not Completed,View her chemistry results,Socially,Prefer Not To Say,Single,No,Black,Brown,Yes,Yes,Over 5 years,Very Ambitious,No Pets,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,F,Scorpio
match_153,alipoo4u,No games,"['Karaoke', 'Fishing', 'Travel']",I don't have time for games. If you are here for a booty call keep it moving. I want my best friend first of all. Someone who will love me for me and who is ready for a ride or die woman. A person who wants to build a lasting relationship. Too old to go from man to man. I just want one and starts at friendship. Last thing if u dont know what you want keep it moving,Non-Smoker with A Few Extra Pounds body type," San antonio, Texas ","54 year old Female, 5' 10"" (178cm), Christian - other",Black,alipoo4u is looking for a relationship.,Some college,Hopeless Romantic,I have one,Man,Long Term,Not Completed,Not Completed,No,Does not want children,Single,No,Brown,Brown,Yes,No,Over 5 years,Very Ambitious,,,No Pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,F,Aries
match_154,kdfaye,TAKE OFF BLINDERS,"['Reading', 'Walking in the park', 'Candlelight dinner and drinks I also like comedy']",Will tell you later,Non-Smoker with Big & Tall/BBW body type," Round rock, Texas ","46 year old Female, 5' 3"" (160cm), Baptist",Black,kdfaye is actively seeking a relationship.,High school,Music Snob,Cook,Man,Long Term,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Brown,Brown,No,All my kids are over 18,Under 1 year,Somewhat Ambitious,,,No Pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,F,Capricorn
match_155,wsj22,I want one to call my own....,"['Walking', 'Kissing', 'Water aerobics']","Im looking for a man that's ready to be in a (monagamous) relationship. What's up with all this polyamory, FWB, and open relationship stuff?? Not for me! I want someone financially and emotionally secure. Intelligence is a huge turn on for me! I need to be challenged in order to maintain interest! I've still got many things I want to do, places I need to see.....I want to live a full and fun life! Better nutrition and exercise are a current focus of mine....let's go for a walk by the river or down a trail in Gtown! There is so much to do locally!I enjoy time spent at home doing regular daily things as well. I enjoy cooking and don't mind a night out looking for a new restaurant or visiting an old fav. I desire a true partnership and a man that wants to be a team player! I'm pretty easy going these days since I've retired....I'm trying not to sweat the small stuff..... Message me if any of this rings true to you!",Non-Smoker with A Few Extra Pounds body type," Georgetown, Texas ","59 year old Female, 5' 5"" (165cm), Baptist",Caucasian,wsj22 is looking for a relationship.,Masters Degree,Night Owl,Retired elementary teacher,Man,Dating,Not Completed,View her chemistry results,No,Does not want children,Divorced,No,Brown,Brown,Yes,All my kids are over 18,Over 10 years,Very Ambitious,,,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,F,Capricorn
match_156,misstexassugar,looking have a great time,None,TRAVEL MUSICSHOPPING EATING OUTMOVIES FAMILYGYMANYTHING WITH FUN NO STRESS,Non-Smoker with Average body type," San antonio, Texas ","35 year old Female, 5' 3"" (160cm), Other",Other Ethnicity,misstexassugar wants to date but nothing serious.,High school,Princess, blessed job,Man,Hang Out,Not Completed,View her chemistry results,Socially,Undecided/Open,Single,No,Black,Other,Yes,No,Over 4 years,Very Ambitious,,No Pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,F,Capricorn
match_157,oldschooltex,@@@@@@@,"['Walking', 'Gym', '']",@@@@@@@@,Non-Smoker with Average body type," Austin, Texas ","51 year old Female, 5' 8"" (173cm), Catholic",Hispanic,oldschooltex is looking for a relationship.,High school,Hopeless Romantic,have a job,Man,Long Term,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Blond(e),Brown,Prefer Not To Say,All my kids are over 18,Over 10 years,Very Ambitious,Dog,,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,F,Cancer
match_158,lostinthestars1973,"Let’s try this one more time, be easy on me.","['Football', 'Dancing', 'Movies']","My kids are my world. I love to travel, the beach is my escape. I am a hopeless romantic and have a huge heart, that’s my downfall. BbwIf you don’t have pictures in your profile DO NOT message",Non-Smoker with Big & Tall/BBW body type," Buda, Texas ","45 year old Female, 5' 3"" (160cm), Christian - other",Caucasian,lostinthestars1973 is looking for a relationship.,High school,Hopeless Romantic,Hairstylist/salon manager ,Man,Dating,Not Completed,View her chemistry results,Socially,Prefer Not To Say,Divorced,No,Mixed Color,Hazel,Yes,All my kids are over 18,Over 7 years,Somewhat Ambitious,,,Cat & Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,F,Sagittarius
match_159,witty_socal,looking for friends to go out with....,"['Bike riding', 'Good food', 'Live music']","active, good morals, good work ethic enjoy any type crafts and building, outdoor activities, riding my bikeI have a very quirky attitude, I tend to wonder what if and come up with random would you rather scenarios. I do enjoy someone's company who will keep my laughing and piggy back off my sarcasm and at times dark humor.Goals- These are never ending for me. I desire being able to check off things all my list and then once I have everything, bump those goals up a notch or go in a completely direction. I am always in search of fulfilling these goals, and simply the gratification of proving something to myself.I tend to gravitate to people who have a good mind set, people pleasers, kinds to others.looking to compliment or match someone else who is independent. So here is the thing, I am in a point of my life where I enjoy my independence. However I am looking to hang out with people and make friends. We can go grab a beer, do something outdoors without the pressure of feeling like we are on a date or trying to impress one another. I am very down to earth person and Just enjoy being me.",Non-Smoker with A Few Extra Pounds body type," Georgetown, Texas ","34 year old Female, 5' 3"" (160cm), Catholic",Hispanic,witty_socal is looking for a relationship.,Some University,Artsy,lifestyle coordinator,Man,Hang Out,Viewher relationship needs,View her chemistry results,Socially,Undecided/Open,Single,No,Black,Brown,Yes,Yes,Over 8 years,Very Ambitious,Dog,,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,F,Aquarius
match_16,Gigi1965,"I’m real, I connect with many but want 1 special.","['Guys who cook', 'Streaming tv', 'Wine flirtations']","I’m genuine, smart, fun, active, kind, and I lack bias. I’m into jogging/gym, films, music, books, travel, dancing, dogs, driving fast cars, and dynamic conversations. I’m looking for an articulate foodie, an intellectual with wit, charm and confidence. I want to have my last first kiss!",Non-Smoker with Athletic body type," Austin, Texas ","53 year old Female, 5' 4"" (163cm), Non-religious",Caucasian,Gigi1965 wants to find someone to marry.,Graduate Degree,Hopeless Romantic,Former Mathematics Educator,Man,Long Term,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Blond(e),Blue,Yes,Yes,Over 10 years,Ambitious,,,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,F,Capricorn
match_160,looking995,hey!!,None,"..,,,",Non-Smoker with Prefer Not To Say body type," San antonio, Texas ","37 year old Female, 5' 5"" (165cm), Non-religious",Hispanic,looking995 wants to date but nothing serious.,Some college,Animal Lover,employee,Man,Friends,Not Completed,Not Completed,Socially,Prefer Not To Say,Single,No,Black,Brown,Yes,Yes,Over 5 years,Somewhat Ambitious,Dog,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,F,Gemini
match_161,AGirlLooking,Just a girl lookin for you,None,"Hello.....so not good at talking about myself but here goes. I can tell you want I am not looking for before I can tell you what I am looking for.........yeppers I am a typical women??I like to read an actual book.....no electronic gadgets. I enjoy going to the movies, I think it is the popcorn and the recliners that i am addicted to. Not very adventurous when it comes to food. I was brought where you smash everything, fry it and pour gravy on it. Just give me some meat and potatoes and I am a happy person. The other thing that I will admit........I am a reality TV junkie. Hey no judging until you try it. I can do a night in or a night out on the town. Like to hold hands! II have an amazing daughter whom lives in San Marco''s and is about to move to Austin. Very excited and proud of her.Other way to describe me.....loner, loser and complicated wreck.....if you can tell me what movie that came from then you have read my profile and get brownie points.Hope to hear from you.",Non-Smoker with Average body type," San antonio, Texas ","53 year old Female, 5' 6"" (168cm), Other",Caucasian,AGirlLooking is looking for a relationship.,High school,Film/TV Junkie,Paper Pusher,Man,Long Term,Not Completed,Not Completed,Socially,Does not want children,Single,No,Blond(e),Blue,Yes,All my kids are over 18,Over 5 years,Somewhat Ambitious,,,,,,,,,,,,,,,,,,,,No Pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,F,Pisces
match_162,Texasminx,A good meal is always followed by dessert!,"['Anything outside', 'Sun', 'Water']","_./'\._ ¸¸.•¤**¤•.¸.•¤**¤•…... _./'\._ *•. .•* Welcome to my profile! *•. .•*/.•*•.\ ¸..•¤**¤•., .•¤**¤•.*.*/.•*•.\ REAL CLASSIC! EXCELLENT CONDITION. ALL ORIGINAL PARTS, INTERIOR AND EXTERIOR SUPERB, ONE OWNER, LOW MAINTENANCE AND MILES, RUNS GREAT. MUST SEE TO APPRECIATE! CONTACT OWNER WITH ANY ADDITIONAL QUESTIONS!I am: kind, outgoing, adventurous, athletic, classy, attractive, funny, sarcastic, fashionable, easy going, ambitious, giving, loving, kind, sweet, coordinated multi-tasker, independent, spiritual and religious, driven, family oriented, unselfish, volunteer, talented, educated, down to earth, unpretentious, re-modeler handy-woman, low maintenance, a dancer, a music lover, and an animal lover. Are you? NOTE/FYI/CAUTION/WARNING/READ BEFORE SENDING A MESSAGE:1) I am only attracted to men who are WHITE (not black)! This is my preference and not not up to discussion or argument. A white man who has a tan is a bonus! Sorry if this offends anyone.....just had to put it because of the e-mails I was receiving. Here's the story behind the headline: When I put ""chocolate lover"" (like milk chocolate to eat) on my profile, some men assumed I meant black men.....I kid you not! I can't make this stuff up! 2) Please live withing 45-60 minutes from my location. Ideally we all would like our ""partner"" to live right down the street. This is probably not going to happen. That being said, a dating relationship can not happen if people live too far apart. 3) Dating age range. A good dating age range is 10 years younger or 10 years older....for ANYONE period. No matter how ""young at heart you are, or how ""hot you think you are,"" if you aren't willing to date woman your own age that is a HUGE warning sign!! Men, really.....if you are still trying ""to bag"" a woman 15-20 years younger than yourself....take a good look at yourself in the mirror. Those women want you only if you have money, have ""Daddy-issues"", and will probably want to have kids. Get a grip Gramps! Date women in your own age group and you will be glad you did because they will have more in common with you!I will read your entire profile and I hope you take the time to read my lengthy one as well. As a courtesy, I am honest and upfront, please be kind and mannerly. Crude or inappropriate behavior won’t be tolerated. This is a “dating site, not a hook-up site.” Single means divorced......not separated. There is a difference. I know what I want (not need), I can be alone and not lonely, and don't want to waste anyone's time, so please don't waste mine. Be able to laugh at others as well as yourself! Be brutally honest with yourself first. What you are seeking in a mate, should also be the same things you can supply in a relationship. Send a message with a nice hello and a willingness to get to know one another. If you are going through a mid-life crisis, take too many gym selfies, and include pictures of your tattoos in your profile....go seek help, but please don’t contact me! My baggage in life is the size of a wallet, if you have some Samsonite.....please just keep on wheeling down the road! Lastly, good fishing requires the use of the right kind of bait. Good luck fishing! Make dating great again!",Non-Smoker with Athletic body type," Bastrop, Texas ","52 year old Female, 5' 4"" (163cm), Christian - other",Caucasian,Texasminx is looking for a relationship.,Bachelors Degree,Animal Lover,Business owner,Man,Dating,Viewher relationship needs,View her chemistry results,Socially,Does not want children,Single,No,Blond(e),Green,Yes,All my kids are over 18,Over 6 years,Ambitious,,,Cat & Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,F,Scorpio
match_163,texaslatina81,"People are nasty with words!! Live, love, peace!!",None,"Single mom of 2 boys. Looking to meet new people!! New to the El Paso area, would like to make friends and see what happens. I work two jobs for now so I can take care of what needs taking care of.",Non-Smoker with A Few Extra Pounds body type," El paso, Texas ","37 year old Female, 5' 4"" (163cm), Christian - other",Hispanic,texaslatina81 wants to date but nothing serious.,Some college,Crafty,Dental Assistant,Man,Hang Out,Not Completed,Not Completed,Socially,Undecided/Open,Single,No,Grey,Brown,Yes,Yes,Over 10 years,Ambitious,Dog,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,F,Sagittarius
match_164,BeHappy58,Let's have fun and be happy.,"['Movies', 'Food', 'Dancing']","I am not a true beach bum, but I didn't seem to fit any of their one word personality types. At this point, I try to be laid back and accepting of others and myself. Life is short and it should be enjoyed, and a partner would make things sweeter. ",Non-Smoker with Athletic body type," Georgetown, Texas ","61 year old Female, 5' 6"" (168cm), Christian - other",Caucasian,BeHappy58 is actively seeking a relationship.,Masters Degree,Beach Bum,Retired,Man,Long Term,Viewher relationship needs,View her chemistry results,Socially,Prefer Not To Say,Widowed,No,Brown,Hazel,Yes,No,Over 10 years,Ambitious,,,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,F,Aries
match_165,Im_No_Angel48,She's Winning,"['Playing pool', 'Talking', 'Chilln']",I like to get straight to the point...Like...What you want??What you trying to do???Why you on here???What's up??!!!She's Winning...A woman who looks and smells good;Dresses and speaks well;Loves and laughs often;Is kind and giving;Has drive and ambition;Has confidence and class;Fears no one but God;and is about Her Own Business!!!!,Non-Smoker with Big & Tall/BBW body type," Luling, Texas ","49 year old Female, 5' 5"" (165cm), Non-religious",Hispanic,Im_No_Angel48 is looking for a relationship.,Some college,Tattooed/Pierced,Hairstylist,Man,Hang Out,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Mixed Color,Brown,Yes,All my kids are over 18,Over 10 years,Somewhat Ambitious,Dog,,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,F,Virgo
match_166,misty1013,Trying this,None,I’ll let you know,Non-Smoker with A Few Extra Pounds body type," New braunfels, Texas ","44 year old Female, 5' 7"" (170cm), Christian - other",Caucasian,misty1013 is actively seeking a relationship.,High school,Hopeless Romantic,retail,Man,Long Term,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Brown,Brown,Yes,All my kids are over 18,Over 10 years,Ambitious,,,,,,,,,,,,,,,,,,,,,Cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,F,Libra
match_167,96jennifer,Send me a message...,None,....,Non-Smoker with Big & Tall/BBW body type," San antonio, Texas ","43 year old Female, 5' 3"" (160cm), Catholic",Hispanic,96jennifer is looking for a relationship.,Some college,Beach Bum,Education ,Man,Dating,Not Completed,Not Completed,Socially,Does not want children,Single,No,Brown,Brown,Yes,All my kids are over 18,Over 6 years,Ambitious,,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,F,Scorpio
match_168,victoria77901,Looking for my best friend and soulmate,None,"I was born and raised in Victoria Texas. I live a simple life quiet. Love taking road trips. Going back home hanging out at the beach. going to movies watching comedy, western, action and hanging out with friends. I love watching football, baseball, basketball and boxing. Religion is very important to me.",Non-Smoker with A Few Extra Pounds body type," Round rock, Texas ","60 year old Female, 5' 1"" (155cm), Catholic",Hispanic,victoria77901 is looking for a relationship.,Some college,Animal Lover, Self-employed ,Man,Dating,Not Completed,Not Completed,Socially,Does not want children,Single,No,Black,Brown,Yes,No,Over 10 years,Ambitious,Dog,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,F,Scorpio
match_169,Rosepixie1,Looking for something real,None,"I am 45 no children and never been married. I am a cancer survivor hence can''t have children. Decided to clarify that before you ask why I don''t have kids. I am looking to meet a nice guy, date and hopefully it will turn into a relationship. Please do not contact me if you are looking for a one night stand or a friends with benefits thing. The answer is automatically no.",Non-Smoker with Big & Tall/BBW body type," San antonio, Texas ","45 year old Female, < 5' (< 152 cm), Christian - other",Hispanic,Rosepixie1 is actively seeking a relationship.,Some University,Bookworm,Fingerprints,Man,Long Term,Not Completed,Not Completed,Socially,Undecided/Open,Single,No,Black,Brown,Yes,No,Over 2 years,Ambitious,Cat,,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,F,Sagittarius
match_17,cmlockh,Ask me anything,None,"My glass is always half full, being an optimist, life is an adventure. I'm willing to try new things, you never know until you try, ( i.e ).i am honest and appreciate honesty from others. I don't have time for mind games. Whoever i am and whatever you are is the way it should be.I love , fishing, camping, hiking, boating, swimming, bicycling, playing volleyball, watching movies, gardening, cooking exercising, dining out and working out most times also , and am just new on here to see if I could have a successful relationship and tired of pretends and games let’s chat if you interested ",Non-Smoker with Average body type," Austin, Texas ","45 year old  Female, 5' 7"" (170cm), Catholic",Caucasian,cmlockh is looking for a relationship.,Masters Degree,Traveler,Air Force ,Man,Long Term,Not Completed,Not Completed,Socially,Undecided/Open,Single,No,Black,Hazel, Yes,No,Over 5 years,Ambitious,,,,,,,,,,,,,,,,,,,,,,,Cat & Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45, ,Leo
match_170,Ericksjill,Slow me down or you better be able to keep up!,"['Crafts', 'TENNIS', 'Reading']",New to Austin. Friends would say I am easy going and lots of fun. Generous to a fault. I have a job that I love and have a tendency to work to much. Looking for the right man to slow me down and enjoy life's treasures. Enjoy the wine trail and getting out to see the back roads of Texas.,Non-Smoker with A Few Extra Pounds body type," Austin, Texas ","54 year old Female, 5' 7"" (170cm), Christian - other",Caucasian,Ericksjill is looking for a relationship.,Some University,Professional,Management ,Man,Long Term,Not Completed,View her chemistry results,Socially,Prefer Not To Say,Divorced,No,Black,Blue,Yes,Yes,Over 10 years,Somewhat Ambitious,,,Cat & Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,F,Leo
match_171,ada09,.,None,.,Non-Smoker with Prefer Not To Say body type," San antonio, Texas ","35 year old Female, 5' 4"" (163cm), Other",Hispanic,ada09 is actively seeking a relationship.,Some college,Animal Lover,N,Man,Long Term,Not Completed,Not Completed,No,Undecided/Open,Single,No,,Hazel,Prefer Not To Say,Yes,Over 6 years,Ambitious,Dog,,,,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,F,Gemini
